smer;cyklus;cilovy_azimut;skutecne_natoceni;jump_deg;trim;xA;yA;tA;axA;ayA;xC;yC;tC;axC;ayC
CCW;1;330;-30.00;-30.00;50;-0.51450010;0.70115000;23.87;0.037737;0.032507;-0.47735012;0.69655016;23.91;0.038794;-0.022434
CCW;2;300;-60.00;-30.00;50;-0.48000008;0.65744996;23.96;0.025813;0.029146;-0.47205012;0.64829980;24.00;0.052075;-0.019138
CW;3;30;30.00;90.00;50;-0.47214988;0.64004990;24.02;0.062969;0.018591;-0.46064988;0.62040000;24.04;0.015215;-0.008423
CCW;4;210;-150.00;-180.00;50;-0.46054990;0.61114990;24.00;0.014775;-0.008596;-0.45079992;0.60835000;24.07;0.062385;0.018364
CW;5;280;-80.00;70.00;50;-0.44740000;0.60334984;24.08;0.017861;0.023718;-0.43619990;0.60460000;24.10;0.059583;-0.012861
CCW;6;220;-140.00;-60.00;50;-0.43679996;0.60130030;24.12;0.010979;-0.004255;-0.44249996;0.59384990;24.11;0.065486;0.013633
CCW;7;200;-160.00;-20.00;50;-0.44549988;0.58340016;24.17;0.018877;-0.012234;-0.42929996;0.59590000;24.15;0.057473;0.023088
CW;8;250;-110.00;50.00;50;-0.44054992;0.58540000;24.22;0.010510;0.010491;-0.42854992;0.57540008;24.29;0.065908;-0.000649
CCW;9;100;-260.00;-150.00;50;-0.42320004;0.58295000;24.30;0.058118;-0.012944;-0.43260000;0.57750000;24.24;0.015662;0.022925
CW;10;210;-150.00;110.00;50;-0.42644990;0.57470020;24.25;0.014319;-0.008792;-0.42559992;0.57809996;24.29;0.062549;0.018328
CW;11;250;-110.00;40.00;50;-0.43484990;0.56995016;24.26;0.011655;0.010095;-0.43574984;0.59834970;24.23;0.064878;-0.000603
CW;12;40;40.00;150.00;50;-0.43505000;0.58249990;24.23;0.063496;0.013420;-0.42444992;0.58715004;24.26;0.012373;-0.004299
CCW;13;240;-120.00;-160.00;50;-0.43229996;0.57560016;24.30;0.009453;0.005361;-0.42749992;0.58320020;24.30;0.064990;0.004089
CW;14;20;20.00;140.00;50;-0.42874992;0.58070010;24.30;0.059792;0.021804;-0.42109992;0.59119964;24.30;0.017698;-0.012476
CCW;15;290;-70.00;-90.00;50;-0.42899992;0.56825000;24.30;0.020574;0.026572;-0.42019980;0.58234996;24.30;0.055598;-0.016628
CW;16;320;-40.00;30.00;50;-0.41959984;0.58185000;24.30;0.033325;0.031748;-0.42545004;0.58250010;24.34;0.044214;-0.022305
CCW;17;150;-210.00;-170.00;50;-0.42205004;0.58320000;24.30;0.036990;-0.022637;-0.42410000;0.57755010;24.30;0.039177;0.032148
CCW;18;20;-340.00;-130.00;50;-0.42440016;0.58985008;24.30;0.059448;0.022197;-0.43215000;0.57114992;24.30;0.015916;-0.012441
CCW;19;220;-140.00;-140.00;50;-0.41770000;0.57905010;24.37;0.011150;-0.003674;-0.42349996;0.58764992;24.38;0.064226;0.013022
CCW;20;130;-230.00;-90.00;50;-0.41999992;0.58974976;24.42;0.046301;-0.021006;-0.43110008;0.58305010;24.41;0.030364;0.030457
CW;21;130;-230.00;0.00;50;-0.43050008;0.58544992;24.48;0.046196;-0.021587;-0.42689992;0.58060020;24.45;0.029343;0.030420
CW;22;200;-160.00;70.00;50;-0.41275008;0.59250000;24.51;0.015928;-0.012458;-0.41835000;0.59444990;24.46;0.057856;0.021470
CW;23;210;-150.00;10.00;50;-0.41155012;0.58240010;24.50;0.013384;-0.008552;-0.43404990;0.58809996;24.46;0.061782;0.018108
CW;24;290;-70.00;80.00;50;-0.42755000;0.58155010;24.55;0.020552;0.025996;-0.43540000;0.59155000;24.56;0.055969;-0.016851
CCW;25;180;-180.00;-110.00;50;-0.42080008;0.57680010;24.60;0.022637;-0.018167;-0.43744984;0.59164980;24.60;0.051187;0.028118
CCW;26;120;-240.00;-60.00;50;-0.42059996;0.59614984;24.52;0.050554;-0.018716;-0.43015004;0.59134996;24.60;0.023633;0.028970
CW;27;230;-130.00;110.00;50;-0.42729996;0.57355004;24.60;0.011648;0.000457;-0.42699996;0.58704996;24.60;0.064426;0.008896
CCW;28;200;-160.00;-30.00;50;-0.42450004;0.57745004;24.60;0.016106;-0.012866;-0.43199990;0.58700016;24.60;0.058721;0.022061
CW;29;250;-110.00;50.00;50;-0.43704996;0.58400008;24.60;0.011255;0.010278;-0.42140000;0.58854984;24.60;0.065393;-0.001270
